id,title,genre,poster,imdbrating,year
366,Inside Job,Documentary,InsideJob.jpg,8.2,2010
367,Ip Man 2,Action,IpMan2.jpg,7.5,2010
368,Iron Man 2,Action Thriller IMAX,IronMan2.jpg,7,2010
369,It's Kind of a Funny Story,Comedy,It'sKindofaFunnyStory.jpg,7.1,2010
370,Jackass 3D,Action Comedy Documentary,Jackass3D.jpg,7,2010
371,Kick-Ass,Action Comedy,Kick-Ass.jpg,7.6,2010
372,Knight and Day,Action Comedy,KnightandDay.jpg,6.3,2010
373,Leap Year,Comedy,LeapYear.jpg,6.5,2010
374,Let Me In,Drama Horror Mystery,LetMeIn.jpg,7.1,2010
375,Life as We Know It,Comedy,LifeasWeKnowIt.jpg,6.5,2010
376,Little Fockers,Comedy,LittleFockers.jpg,5.5,2010
377,Louis C.K. Hilarious,Comedy,LouisC.K.Hilarious.jpg,8.5,2010
378,Love and Other Drugs,Comedy,LoveandOtherDrugs.jpg,6.7,2010
379,Machete,Action Comedy Crime,Machete.jpg,6.6,2010
380,Megamind,Animation Children Comedy Sci-Fi,Megamind.jpg,7.2,2010
381,Morning Glory,Comedy,MorningGlory.jpg,6.5,2010
382,Paranormal Activity 2,Horror IMAX,ParanormalActivity2.jpg,5.6,2010
383,Percy Jackson & the Olympians The Lightning Thief,Adventure Fantasy,PercyJackson&theOlympiansTheLightningThief.jpg,5.9,2010
384,Piranha,Horror,Piranha.jpg,5.4,2010
385,Predators,Action Sci-Fi,Predators.jpg,6.4,2010
386,Prince of Persia The Sands of Time,Action Adventure Fantasy Romance IMAX,PrinceofPersiaTheSandsofTime.jpg,6.6,2010
387,Repo Men,Action Sci-Fi,RepoMen.jpg,6.3,2010
388,Resident Evil Afterlife,Sci-Fi Thriller IMAX,ResidentEvilAfterlife.jpg,5.8,2010
389,Salt,Action Crime Mystery Thriller,Salt.jpg,6,2010
390,Scott Pilgrim vs. the World,Action Comedy Fantasy Romance,ScottPilgrimvs.theWorld.jpg,7.3,2010
391,She's Out of My League,Comedy,She'sOutofMyLeague.jpg,6,2010
392,Shrek Forever After,Animation Fantasy,ShrekForeverAfter.jpg,6,2010
393,Shutter Island,Mystery Thriller,ShutterIsland.jpg,8,2010
394,Super,Crime,Super.jpg,6.4,2010
395,Tangled,Animation Fantasy Musical Romance,Tangled.jpg,7.5,2010
396,The Book of Eli,Action,TheBookofEli.jpg,6.6,2010
397,The Bounty Hunter,Action Comedy,TheBountyHunter.jpg,5.1,2010
398,The Chronicles of Narnia The Voyage of the Dawn Treader,Adventure Family Fantasy,TheChroniclesofNarniaTheVoyageoftheDawnTreader.jpg,6,2010
399,The Expendables,Action,TheExpendables.jpg,6.2,2010
400,The Fighter,Biography Drama Sport,TheFighter.jpg,7.8,2010
401,The Ghost Writer,Mystery Thriller,TheGhostWriter.jpg,6.9,2010
402,The Kids Are All Right,Comedy,TheKidsAreAllRight.jpg,6.9,2010
403,The King's Speech,Drama,King'sSpeechThe.jpg,8,2010
404,The Last Airbender,Action Adventure Family Fantasy,TheLastAirbender.jpg,3.5,2010
405,The Next Three Days,Crime Romance Thriller,TheNextThreeDays.jpg,7.1,2010
406,The Other Guys,Action,TheOtherGuys.jpg,6.4,2010
407,The Social Network,Biography Drama,TheSocialNetwork.jpg,7.5,2010
408,The Sorcerer's Apprentice,Action Adventure Family Fantasy,TheSorcerer'sApprentice.jpg,5.7,2010
409,The Switch,Comedy,TheSwitch.jpg,5.7,2010
410,The Town,Crime,TheTown.jpg,7.3,2010
411,The Twilight Saga Eclipse,Adventure Drama Fantasy Romance,TheTwilightSagaEclipse.jpg,4.4,2010
412,Toy Story 3,Animation Fantasy,ToyStory3.jpg,8.2,2010
413,True Grit,Adventure Drama Western,TrueGrit.jpg,7.5,2010
414,Unstoppable,Action Thriller,Unstoppable.jpg,6.4,2010
415,Winter's Bone,Drama,Winter'sBone.jpg,6.9,2010
416,9,Animation Sci-Fi,9.jpg,7.1,2009
417,2012,Action Thriller,2012.jpg,5.8,2009
418,(500) Days of Summer,Comedy,(500)DaysofSummer.jpg,7.7,2009
419,17 Again,Comedy,17Again.jpg,6.3,2009
420,Adventureland,Comedy,Adventureland.jpg,6.8,2009
421,Angels & Demons,Crime Thriller,Angels&Demons.jpg,6.7,2009
422,Antichrist,Drama Fantasy,Antichrist.jpg,6.6,2009
423,Brothers,War,Brothers.jpg,7.1,2009
424,Cloudy with a Chance of Meatballs,Animation Children Fantasy IMAX,CloudywithaChanceofMeatballs.jpg,6.9,2009
425,Coraline,Animation Fantasy Thriller,Coraline.jpg,7.7,2009
426,Crank High Voltage,Comedy Crime,CrankHighVoltage.jpg,6.2,2009
427,Crazy Heart,Drama Romance,CrazyHeart.jpg,7.2,2009
428,Daybreakers,Drama Horror Thriller,Daybreakers.jpg,6.4,2009
429,District 9,Mystery Sci-Fi Thriller,District9.jpg,7.9,2009
430,Dorian Gray,Drama Horror,DorianGray.jpg,6.3,2009
431,Drag Me to Hell,Comedy Horror,DragMetoHell.jpg,6.5,2009
432,Exam,Mystery Thriller,Exam.jpg,6.8,2009
433,Fanboys,Adventure Comedy,Fanboys.jpg,6.6,2009
434,Fantastic Mr. Fox,Animation Children Comedy Crime,FantasticMr.Fox.jpg,7.9,2009
435,Frequently Asked Questions About Time Travel,Comedy Sci-Fi,FrequentlyAskedQuestionsAboutTimeTravel.jpg,7.1,2009
436,Funny People,Comedy,FunnyPeople.jpg,6.3,2009
437,Futurama Into the Wild Green Yonder,Animation Comedy Sci-Fi,FuturamaIntotheWildGreenYonder.jpg,7.3,2009
438,G.I. Joe The Rise of Cobra,Action Thriller,G.I.JoeTheRiseofCobra.jpg,5.8,2009
439,Gamer,Action Sci-Fi,Gamer.jpg,5.8,2009
440,Ghost Ship,Horror,GhostShip.jpg,6.9,2009
441,Harry Potter and the Half-Blood Prince,Adventure Fantasy Mystery Romance IMAX,HarryPotterandtheHalf-BloodPrince.jpg,7.6,2009
442,He's Just Not That Into You,Comedy,He'sJustNotThatIntoYou.jpg,6.4,2009
443,Ice Age Dawn of the Dinosaurs,Animation Children Comedy,IceAgeDawnoftheDinosaurs.jpg,6.9,2009
444,In the Loop,Comedy,IntheLoop.jpg,7.4,2009
445,Inglorious Bastards,Action Adventure,IngloriousBastards.jpg,8.3,2009
446,Inglourious Basterds,War,InglouriousBasterds.jpg,8.3,2009
447,Invictus,Drama,Invictus.jpg,7.3,2009
448,Julie & Julia,Comedy,Julie&Julia.jpg,7,2009
449,Knowing,Action Drama Mystery Sci-Fi Thriller,Knowing.jpg,6.2,2009
450,Land of the Lost,Action Comedy Sci-Fi,LandoftheLost.jpg,5.3,2009
451,Law Abiding Citizen,Drama Thriller,LawAbidingCitizen.jpg,7.4,2009
452,Mary and Max,Animation Comedy,MaryandMax.jpg,8.1,2009
453,Monsters vs. Aliens,Animation Sci-Fi,Monstersvs.Aliens.jpg,6.4,2009
454,Moon,Drama Mystery Sci-Fi Thriller,Moon.jpg,7.9,2009
455,Mr. Nobody,Drama Fantasy Romance Sci-Fi,Mr.Nobody.jpg,7.8,2009
456,Night at the Museum Battle of the Smithsonian,Action Comedy IMAX,NightattheMuseumBattleoftheSmithsonian.jpg,6,2009
457,Pandorum,Horror,Pandorum.jpg,6.7,2009
458,Paul Blart Mall Cop,Comedy Crime,PaulBlartMallCop.jpg,5.2,2009
459,Pirate Radio,Comedy,PirateRadio.jpg,7.4,2009
460,Public Enemies,Crime,PublicEnemies.jpg,7,2009
461,Sherlock Holmes,Action Adventure Crime Mystery Thriller,SherlockHolmes.jpg,7.3,2009
462,Star Trek,Sci-Fi,StarTrek.jpg,7.8,2009
463,Surrogates,Sci-Fi,Surrogates.jpg,6,2009
464,Terminator Salvation,Sci-Fi,TerminatorSalvation.jpg,6.2,2009
465,The Blind Side,Drama,BlindSideThe.jpg,7.6,2009
466,The Hangover,Comedy,TheHangover.jpg,7.5,2009
467,The Imaginarium of Doctor Parnassus,Adventure Fantasy Mystery,TheImaginariumofDoctorParnassus.jpg,6.4,2009
468,The Invention of Lying,Comedy,InventionofLyingThe.jpg,6.4,2009
469,The Men Who Stare at Goats,Comedy War,TheMenWhoStareatGoats.jpg,5.7,2009
470,The Princess and the Frog,Animation Musical Romance,ThePrincessandtheFrog.jpg,6.9,2009
471,The Proposal,Comedy,TheProposal.jpg,6.4,2009
472,The Secret in Their Eyes,Drama Mystery Thriller,TheSecretinTheirEyes.jpg,8,2009
473,The Time Traveler's Wife,Drama Fantasy Romance Sci-Fi,TheTimeTraveler'sWife.jpg,6.9,2009
474,The Twilight Saga New Moon,Adventure Drama Fantasy Romance,TheTwilightSagaNewMoon.jpg,3.9,2009
475,The Ugly Truth,Comedy,TheUglyTruth.jpg,6.2,2009
476,Transformers Revenge of the Fallen,Sci-Fi,TransformersRevengeoftheFallen.jpg,5.5,2009
477,Underworld Rise of the Lycans,Sci-Fi,UnderworldRiseoftheLycans.jpg,6.2,2009
478,Up,Animation,Up.jpg,8.2,2009
479,Up in the Air,Drama Romance,UpintheAir.jpg,7.1,2009
480,Watchmen,Action Drama Mystery Sci-Fi,Watchmen.jpg,7.5,2009
481,Where the Wild Things Are,Adventure Drama Family Fantasy,WheretheWildThingsAre.jpg,6.4,2009
482,Whip It,Drama Sport,WhipIt.jpg,6.6,2009
483,X-Men Origins Wolverine,Sci-Fi,X-MenOriginsWolverine.jpg,6.4,2009
484,Year One,Adventure Comedy,YearOne.jpg,4.4,2009
485,Youth in Revolt,Comedy,YouthinRevolt.jpg,6.2,2009
486,Zombieland,Horror,Zombieland.jpg,7.5,2009
487,21,Crime Drama Romance Thriller,21.jpg,6.8,2008
488,27 Dresses,Comedy,27Dresses.jpg,6.1,2008
489,Australia,Adventure Drama Western,Australia.jpg,6.6,2008
490,Baby Mama,Comedy,BabyMama.jpg,6,2008
491,Be Kind Rewind,Comedy,BeKindRewind.jpg,6.4,2008
492,Bedtime Stories,Adventure Children Comedy,BedtimeStories.jpg,6,2008
493,Body of Lies,Action Drama Thriller,BodyofLies.jpg,7.1,2008
494,Bolt,Animation Children Comedy,Bolt.jpg,6.8,2008
495,Burn After Reading,Comedy Crime,BurnAfterReading.jpg,7,2008
496,Changeling,Crime,Changeling.jpg,7.7,2008
497,Cloverfield,Action Mystery Sci-Fi Thriller,Cloverfield.jpg,7,2008
498,Death Race,Action Thriller,DeathRace.jpg,6.4,2008
499,Definitely Maybe,Comedy,DefinitelyMaybe.jpg,7.1,2008
500,Doubt,Drama Mystery,Doubt.jpg,7.5,2008
501,Eagle Eye,Action IMAX,EagleEye.jpg,6.6,2008
502,Food Inc.,Documentary,FoodInc..jpg,7.8,2008
503,Forgetting Sarah Marshall,Comedy,ForgettingSarahMarshall.jpg,7.1,2008
504,Futurama Bender's Game,Animation Comedy Fantasy Sci-Fi,FuturamaBender'sGame.jpg,7.3,2008
505,Futurama The Beast with a Billion Backs,Animation Comedy Sci-Fi,FuturamaTheBeastwithaBillionBacks.jpg,7.2,2008
506,Get Smart,Action Comedy,GetSmart.jpg,6.5,2008
507,Gran Torino,Crime Drama,GranTorino.jpg,8.1,2008
508,Hancock,Action Comedy Crime Fantasy,Hancock.jpg,6.4,2008
509,Harold & Kumar Escape from Guantanamo Bay,Adventure Comedy,Harold&KumarEscapefromGuantanamoBay.jpg,6.6,2008
510,Horton Hears a Who!,Animation Children Comedy,HortonHearsaWho!.jpg,6.8,2008
511,How to Lose Friends & Alienate People,Comedy,HowtoLoseFriends&AlienatePeople.jpg,6.4,2008
512,In Bruges,Comedy Crime,InBruges.jpg,7.9,2008
513,Indiana Jones and the Kingdom of the Crystal Skull,Action Comedy Sci-Fi,IndianaJonesandtheKingdomoftheCrystalSkull.jpg,6.1,2008
514,Inkheart,Adventure Fantasy,Inkheart.jpg,6.1,2008
515,Ip Man,War,IpMan.jpg,8,2008
516,Iron Man,Sci-Fi,IronMan.jpg,7.9,2008
517,Journey to the Center of the Earth,Sci-Fi,JourneytotheCenteroftheEarth.jpg,5.8,2008
518,Jumper,Action Thriller,Jumper.jpg,6.1,2008
519,Kung Fu Panda,Animation Children Comedy IMAX,KungFuPanda.jpg,7.5,2008
520,Let the Right One In,Drama Fantasy Horror Romance,LettheRightOneIn.jpg,7.9,2008
521,Louis C.K. Chewed Up,Comedy,LouisC.K.ChewedUp.jpg,8.6,2008
522,Madagascar Escape 2 Africa,Animation Children Comedy IMAX,MadagascarEscape2Africa.jpg,6.6,2008
523,Mamma Mia!,Comedy Musical Romance,MammaMia!.jpg,6.4,2008
524,Man on Wire,Documentary,ManonWire.jpg,7.7,2008
525,Marley & Me,Comedy,Marley&Me.jpg,7.1,2008
526,Milk,Drama,Milk.jpg,7.5,2008
527,Mouse Hunt,Children Comedy,MouseHunt.jpg,6,2008
528,Nick and Norah's Infinite Playlist,Comedy,NickandNorah'sInfinitePlaylist.jpg,6.6,2008
529,Pineapple Express,Comedy Crime,PineappleExpress.jpg,6.9,2008
530,Ponyo,Animation Children Fantasy,Ponyo.jpg,7.7,2008
531,Punisher War Zone,Action Crime,PunisherWarZone.jpg,5.9,2008
532,Quantum of Solace,Action Thriller,QuantumofSolace.jpg,6.6,2008
533,Religulous,Comedy Documentary,Religulous.jpg,7.6,2008
534,Revolutionary Road,Drama Romance,RevolutionaryRoad.jpg,7.3,2008
535,RocknRolla,Action Crime,RocknRolla.jpg,7.3,2008
536,Role Models,Comedy,RoleModels.jpg,6.8,2008
537,Semi-Pro,Comedy Sport,Semi-Pro.jpg,5.3,2008
538,Seven Pounds,Drama Romance,SevenPounds.jpg,7.5,2008
539,Slumdog Millionaire,Drama Romance,SlumdogMillionaire.jpg,7.8,2008
540,Star Wars The Clone Wars,Animation Sci-Fi,StarWarsTheCloneWars.jpg,7.8,2008
541,Step Brothers,Comedy,StepBrothers.jpg,6.6,2008
542,Taken,Action Thriller,Taken.jpg,7.8,2008
543,The Bank Job,Crime Romance Thriller,TheBankJob.jpg,7.1,2008
544,The Boy in the Striped Pajamas,War,TheBoyintheStripedPajamas.jpg,7.5,2008
545,The Chronicles of Narnia Prince Caspian,Action Adventure Family Fantasy,TheChroniclesofNarniaPrinceCaspian.jpg,6.2,2008
546,The Curious Case of Benjamin Button,Drama Fantasy Romance,TheCuriousCaseofBenjaminButton.jpg,7.5,2008
547,The Dark Knight,Action Thriller,TheDarkKnight.jpg,8.9,2008
548,The Day the Earth Stood Still,Drama Sci-Fi Thriller,TheDaytheEarthStoodStill.jpg,5.1,2008
549,The Happening,Sci-Fi,TheHappening.jpg,4.4,2008
550,The House Bunny,Comedy,TheHouseBunny.jpg,5.1,2008
551,The Hurt Locker,War,TheHurtLocker.jpg,7.3,2008
552,The Incredible Hulk,Sci-Fi,TheIncredibleHulk.jpg,6.4,2008
553,The Lost Boys,Comedy Horror Thriller,LostBoysThe.jpg,4.5,2008
554,The Mummy Tomb of the Dragon Emperor,Horror,TheMummyTomboftheDragonEmperor.jpg,4.6,2008
555,The Other Boleyn Girl,War Romance,TheOtherBoleynGirl.jpg,6.4,2008
556,The Reader,Drama Romance,TheReader.jpg,7.3,2008
557,The Ruins,Horror,TheRuins.jpg,5.5,2008
558,The Spiderwick Chronicles,Adventure Family Fantasy,TheSpiderwickChronicles.jpg,6.2,2008
559,The Wave,Drama Thriller,TheWave.jpg,7.3,2008
560,The Wrestler,Drama Sport,TheWrestler.jpg,7.8,2008
561,Tropic Thunder,Action Comedy,TropicThunder.jpg,6.6,2008
562,Twilight,Drama Fantasy Romance,Twilight.jpg,4.6,2008
563,Valkyrie,War,Valkyrie.jpg,6.9,2008
564,Vantage Point,Crime,VantagePoint.jpg,6.2,2008
565,Vicky Cristina Barcelona,Drama Romance,VickyCristinaBarcelona.jpg,6.9,2008
566,Waltz with Bashir,Animation Biography Documentary Drama History War,WaltzwithBashir.jpg,7.8,2008
567,Wanted,Action Crime Fantasy Thriller,Wanted.jpg,6.4,2008
568,Yes Man,Comedy,YesMan.jpg,6.4,2008
569,You Don't Mess with the Zohan,Action Comedy,YouDon'tMesswiththeZohan.jpg,5.1,2008
570,Zack and Miri Make a Porno,Comedy,ZackandMiriMakeaPorno.jpg,6.2,2008
571,1408,Drama Horror Thriller,1408.jpg,6.8,2007
572,[REC],Drama Horror Thriller,[REC].jpg,7.4,2007
573,28 Weeks Later,Horror,28WeeksLater.jpg,7,2007
574,3 10 to Yuma,Action Crime Western,310toYuma.jpg,7.7,2007
575,30 Days of Night,Horror Thriller,30DaysofNight.jpg,6.6,2007
576,Across the Universe,Drama Fantasy Musical Romance,AcrosstheUniverse.jpg,7.3,2007
577,American Gangster,Crime,AmericanGangster.jpg,7.8,2007
578,Atonement,Drama Romance War,Atonement.jpg,7.8,2007
579,August Rush,Drama Musical,AugustRush.jpg,7.5,2007
580,AVPR Aliens vs. Predator - Requiem,Sci-Fi,AVPRAliensvs.Predator-Requiem.jpg,4.7,2007
581,Battlestar Galactica Razor,Action Thriller,BattlestarGalacticaRazor.jpg,7.6,2007
582,Becoming Jane,Drama Romance,BecomingJane.jpg,7.1,2007
583,Bee Movie,Animation Comedy,BeeMovie.jpg,6.1,2007
584,Beowulf,Animation Fantasy IMAX,Beowulf.jpg,6.2,2007
585,Blades of Glory,Comedy,BladesofGlory.jpg,6.3,2007
586,Bridge to Terabithia,Adventure Children Fantasy,BridgetoTerabithia.jpg,7.1,2007
587,Charlie Bartlett,Comedy,CharlieBartlett.jpg,7,2007
588,Charlie Wilson's War,Comedy War,CharlieWilson'sWar.jpg,7,2007
589,Dan in Real Life,Comedy,DaninRealLife.jpg,6.7,2007
590,Death at a Funeral,Comedy,DeathataFuneral.jpg,7.4,2007
591,Death Proof,Action Adventure Horror Thriller,DeathProof.jpg,7,2007
592,Disturbia,Drama Thriller,Disturbia.jpg,6.8,2007
593,Eastern Promises,Crime,EasternPromises.jpg,7.6,2007
594,Elite Squad,Action Crime,EliteSquad.jpg,8.1,2007
595,Enchanted,Animation Children Comedy Fantasy Musical Romance,Enchanted.jpg,7,2007
596,Evan Almighty,Comedy Fantasy,EvanAlmighty.jpg,5.4,2007
597,Fantastic Four Rise of the Silver Surfer,Sci-Fi,FantasticFourRiseoftheSilverSurfer.jpg,5.6,2007
598,Fracture,Crime Thriller,Fracture.jpg,7.2,2007
599,Funny Games,Drama Horror Thriller,FunnyGames.jpg,6.6,2007
600,Futurama Bender's Big Score,Animation Comedy Sci-Fi,FuturamaBender'sBigScore.jpg,7.7,2007
601,Ghost Rider,Action Fantasy Thriller,GhostRider.jpg,5.2,2007
602,Gone Baby Gone,Crime,GoneBabyGone.jpg,7.6,2007
603,Grindhouse,Action Horror,Grindhouse.jpg,7.5,2007
604,Hairspray,Comedy Drama,Hairspray.jpg,6.6,2007
605,Harry Potter and the Order of the Phoenix,Adventure Drama Fantasy IMAX,HarryPotterandtheOrderofthePhoenix.jpg,7.5,2007
606,Hitman,Action Crime Thriller,Hitman.jpg,6.3,2007
607,Hot Fuzz,Comedy Crime Mystery,HotFuzz.jpg,7.8,2007
608,Hot Rod,Comedy,HotRod.jpg,6.7,2007
609,I Am Legend,Sci-Fi Thriller IMAX,IAmLegend.jpg,7.2,2007
610,Into the Wild,Action Adventure,IntotheWild.jpg,8.1,2007
611,Juno,Comedy,Juno.jpg,7.4,2007
612,Knocked Up,Comedy,KnockedUp.jpg,6.9,2007
613,Lars and the Real Girl,Comedy,LarsandtheRealGirl.jpg,7.3,2007
614,Live Free or Die Hard,Action Adventure Crime Thriller,LiveFreeorDieHard.jpg,7.1,2007
615,Louis C.K. Shameless,Comedy,LouisC.K.Shameless.jpg,8.6,2007
616,Meet the Robinsons,Animation Children Comedy Sci-Fi,MeettheRobinsons.jpg,6.8,2007
617,Michael Clayton,Drama Thriller,MichaelClayton.jpg,7.2,2007
618,Mr. Brooks,Crime,Mr.Brooks.jpg,7.3,2007
619,Music and Lyrics,Comedy,MusicandLyrics.jpg,6.5,2007
620,National Treasure Book of Secrets,Action Adventure,NationalTreasureBookofSecrets.jpg,6.5,2007
621,Next,Action Sci-Fi,Next.jpg,6.2,2007
622,No Country for Old Men,Crime Drama,NoCountryforOldMen.jpg,8.1,2007
623,Ocean's Thirteen,Crime Thriller,Ocean'sThirteen.jpg,6.9,2007
624,Once,Drama Musical Romance,Once.jpg,7.8,2007
625,P.S. I Love You,Comedy,P.S.ILoveYou.jpg,7,2007
626,Paranormal Activity,Horror Thriller,ParanormalActivity.jpg,6.3,2007
627,Persepolis,Animation,Persepolis.jpg,8,2007
628,Persuasion,Drama Romance,Persuasion.jpg,7.5,2007
629,Pirates of the Caribbean At World's End,Action Comedy Fantasy,PiratesoftheCaribbeanAtWorld'sEnd.jpg,7.1,2007
630,Planet Terror,Sci-Fi,PlanetTerror.jpg,7.1,2007
631,Ratatouille,Animation Children Drama,Ratatouille.jpg,8,2007
632,Reign Over Me,Drama,ReignOverMe.jpg,7.4,2007
633,Resident Evil Extinction,Sci-Fi Thriller,ResidentEvilExtinction.jpg,6.3,2007
634,Run Fatboy Run,Comedy Sport,RunFatboyRun.jpg,6.2,2007
635,Rush Hour 3,Action Thriller,RushHour3.jpg,5.7,2007
636,Saving Grace,Drama Fantasy,SavingGrace.jpg,7.3,2007
637,Saw IV,Horror,SawIV.jpg,5.5,2007
638,Shooter,Action Mystery Thriller,Shooter.jpg,6.9,2007
639,Shrek the Third,Animation Fantasy,ShrektheThird.jpg,5.7,2007
640,Sicko,Documentary Drama,Sicko.jpg,7.8,2007
641,Spider-Man 3,Action Adventure Romance,Spider-Man3.jpg,5.7,2007
642,Stardust,Adventure Family Fantasy Romance,Stardust.jpg,7.5,2007
643,Sunshine,Adventure Sci-Fi Thriller,Sunshine.jpg,7.1,2007
644,Superbad,Comedy,Superbad.jpg,7.3,2007
645,Surf's Up,Animation Sport,Surf'sUp.jpg,6.4,2007
646,The Assassination of Jesse James by the Coward Robert Ford,Biography Crime Drama History Western,TheAssassinationofJesseJamesbytheCowardRobertFord.jpg,7.3,2007
647,The Bourne Ultimatum,Action Mystery Thriller,TheBourneUltimatum.jpg,8,2007
648,The Bucket List,Comedy,BucketListThe.jpg,7.4,2007
649,The Diving Bell and the Butterfly,Biography Drama,TheDivingBellandtheButterfly.jpg,7.8,2007
650,The Golden Compass,Adventure Family Fantasy,TheGoldenCompass.jpg,5.7,2007
651,The Kingdom,Action Drama Thriller,TheKingdom.jpg,6.9,2007
652,The Man from Earth,Drama Romance Sci-Fi,TheManfromEarth.jpg,7.8,2007
653,The Mist,Horror,TheMist.jpg,6.9,2007
654,The Number 23,Mystery Thriller,TheNumber23.jpg,6,2007
655,The Orphanage,Drama Mystery Thriller,TheOrphanage.jpg,7.3,2007
656,The Simpsons Movie,Animation Comedy,TheSimpsonsMovie.jpg,7.1,2007
657,There Will Be Blood,Drama,ThereWillBeBlood.jpg,8,2007
658,TMNT,Animation Sci-Fi,TMNT.jpg,6,2007
659,Transformers,Sci-Fi,Transformers.jpg,6.9,2007
660,Waitress,Comedy,Waitress.jpg,6.9,2007
661,Walk Hard The Dewey Cox Story,Comedy Music,WalkHardTheDeweyCoxStory.jpg,6.4,2007
662,Wild Hogs,Action,WildHogs.jpg,5.5,2007
663,Zodiac,Crime,Zodiac.jpg,7.5,2007
664,20,Sci-Fi,20.jpg,7.6,2006
665,300,Action Fantasy War IMAX,300.jpg,7.6,2006
666,16 Blocks,Crime Thriller,16Blocks.jpg,6.6,2006
667,A Prairie Home Companion,Comedy Musical,PrairieHomeCompanionA.jpg,6.7,2006
668,Accepted,Comedy,Accepted.jpg,6.4,2006
669,Akeelah and the Bee,Drama,AkeelahandtheBee.jpg,7.3,2006
670,All the King's Men,Drama,AlltheKing'sMen.jpg,6.2,2006
671,Alpha Dog,Crime Drama,AlphaDog.jpg,6.9,2006
672,An Inconvenient Truth,Documentary,InconvenientTruthAn.jpg,7.4,2006
673,Apocalypto,Adventure Drama Thriller,Apocalypto.jpg,7.8,2006
674,Art School Confidential,Comedy,ArtSchoolConfidential.jpg,6.3,2006
675,Babel,Drama Thriller,Babel.jpg,7.4,2006
676,Beerfest,Comedy,Beerfest.jpg,6.3,2006
677,Blood Diamond,Action Adventure Crime War,BloodDiamond.jpg,8,2006
678,Cars,Animation Children Comedy,Cars.jpg,7.1,2006
679,Casino Royale,Action Thriller,CasinoRoyale.jpg,8,2006
680,Charlotte's Web,Animation Children,Charlotte'sWeb.jpg,6.3,2006
681,Children of Men,Action Thriller,ChildrenofMen.jpg,7.9,2006
682,Clerks II,Comedy,ClerksII.jpg,7.3,2006
683,Click,Adventure Comedy Fantasy Romance,Click.jpg,6.4,2006
684,Crank,Action Thriller,Crank.jpg,6.9,2006
685,Dreamgirls,Drama Musical,Dreamgirls.jpg,6.5,2006
686,Employee of the Month,Comedy,EmployeeoftheMonth.jpg,5.5,2006
687,Eragon,Action Adventure Fantasy,Eragon.jpg,5.1,2006
688,Failure to Launch,Comedy,FailuretoLaunch.jpg,5.6,2006
689,Fido,Comedy Horror Thriller,Fido.jpg,6.7,2006
690,Final Destination 3,Horror Mystery Thriller,FinalDestination3.jpg,5.8,2006
691,Flags of Our Fathers,War,FlagsofOurFathers.jpg,7.1,2006
692,Flushed Away,Animation Comedy,FlushedAway.jpg,6.6,2006
693,Grandma's Boy,Comedy,Grandma'sBoy.jpg,7,2006
694,Half Nelson,Drama,HalfNelson.jpg,7.2,2006
695,Hollywoodland,Crime Thriller,Hollywoodland.jpg,6.5,2006
696,Ice Age 2 The Meltdown,Animation Children Comedy,IceAgeTheMeltdown.jpg,6.8,2006
697,Idiocracy,Adventure Comedy Sci-Fi Thriller,Idiocracy.jpg,6.6,2006
698,Inland Empire,Drama Mystery Thriller,InlandEmpire.jpg,6.9,2006
699,Inside Man,Crime,InsideMan.jpg,7.6,2006
700,Jackass Number Two,Comedy Documentary,JackassNumberTwo.jpg,7,2006
701,Jesus Camp,Documentary Drama,JesusCamp.jpg,7.4,2006
702,Jet Li's Fearless,Action Drama,JetLi'sFearless.jpg,7.6,2006
703,John Tucker Must Die,Comedy,JohnTuckerMustDie.jpg,5.8,2006
704,Lady in the Water,Drama Fantasy Mystery,LadyintheWater.jpg,5.5,2006
705,Letters from Iwo Jima,War,LettersfromIwoJima.jpg,7.9,2006
706,Little Miss Sunshine,Adventure Comedy,LittleMissSunshine.jpg,7.8,2006
707,Lucky Number Slevin,Crime,LuckyNumberSlevin.jpg,7.7,2006
708,Marie Antoinette,Drama Romance,MarieAntoinette.jpg,6.4,2006
709,Mission Impossible III,Action Thriller,MissionImpossibleIII.jpg,6.9,2006
710,Monster House,Animation Children Fantasy Mystery,MonsterHouse.jpg,6.6,2006
711,My Super Ex-Girlfriend,Comedy Fantasy Romance,MySuperEx-Girlfriend.jpg,5.1,2006
712,Nacho Libre,Comedy,NachoLibre.jpg,5.7,2006
713,Night at the Museum,Action Comedy Fantasy IMAX,NightattheMuseum.jpg,6.4,2006
714,Over the Hedge,Animation Children Comedy,OvertheHedge.jpg,6.7,2006
715,Pan's Labyrinth,Drama Fantasy Thriller,Pan'sLabyrinth.jpg,8.2,2006
716,Paprika,Animation Mystery Sci-Fi,Paprika.jpg,7.7,2006
717,Perfume The Story of a Murderer,Crime,PerfumeTheStoryofaMurderer.jpg,7.5,2006
718,Pirates of the Caribbean Dead Man's Chest,Action Adventure Fantasy,PiratesoftheCaribbeanDeadMan'sChest.jpg,7.3,2006
719,Rocky Balboa,Action Drama,RockyBalboa.jpg,7.1,2006
720,Running Scared,Action Thriller,RunningScared.jpg,7.1,2006
721,Saw III,Horror,SawIII.jpg,5.7,2006
722,Scary Movie 4,Comedy,ScaryMovie4.jpg,4.6,2006
723,She's the Man,Comedy,She'stheMan.jpg,6,2006
724,Silent Hill,Adventure Horror Mystery,SilentHill.jpg,6.2,2006
